predictor,source,unit,spatial_support,temporal_support,role,scientific_rationale,known_limitation,available_at_prediction_time,operational_derivation,suspected_issue,review_status
sentinel2_ndvi,declared Sentinel-2 surface-reflectance product,unitless,10 m cell,seasonal window,proxy,"may represent green canopy vigour associated with height","saturation water soil background clouds and phenology",true,versioned mask and seasonal median,none,eligible with conditions
sentinel2_rededge_median,declared Sentinel-2 surface-reflectance product,reflectance,20 m source reconciled to analysis support,seasonal window,proxy,"red-edge response may contain canopy pigment and structure information","resolution scaling atmosphere and product version",true,versioned accepted-observation median,none,eligible with conditions
uav_height_p95,accepted UAV surface evidence,m,plot footprint,flight date,directly relevant measurement,"upper structural percentile may contain information about field height","surface reference occlusion phenology and limited UAV coverage",true,validated plot aggregation from accepted surface,coverage limitation,eligible with conditions
uav_texture_entropy,accepted UAV orthomosaic,unitless,plot footprint,flight date,proxy,"texture may represent canopy heterogeneity related to structure","illumination GSD and window-size dependence",true,versioned texture function and window,proxy instability,eligible with conditions
terrain_elevation,accepted terrain model,m,analysis grid,static reference period,context,"elevation may represent inundation and salinity gradients relevant to vegetation","vertical datum and weak within-site variation",true,validated terrain sampling,none,eligible with conditions
distance_to_water,reviewed coastline and channel geometry,m,analysis grid,boundary version date,proxy,"distance may represent hydrological exposure","geometry version and barriers can make Euclidean distance misleading",true,versioned distance transform,proxy limitation,eligible with conditions
site_id,project registry,category,site,study period,identifier,"may absorb stable between-site differences","can encourage memorisation and cannot represent a new site",true,stable site registry,new-site transfer risk,diagnostic only
acquisition_sun_zenith,image metadata,degrees,scene,acquisition time,nuisance,"may capture illumination-related measurement variation","may encode campaign or seasonal identity",true,metadata field with range validation,shortcut risk,diagnostic only
post_visit_field_height,field campaign,cm,plot footprint,field visit after decision date,direct measurement,"strongly related because it is effectively a later target measurement","unavailable before the operational decision",false,not possible before prediction,training-serving skew,rejected
condition_score_from_ndvi,derived label table,unitless,10 m cell,target derivation period,leakage,"mathematically overlaps the proposed target derivation","contains a candidate predictor inside the target",true,derived score,target leakage,rejected
future_year_rainfall,climate archive,mm,site,future annual period,context,"could be related to future vegetation response","not observed when a current-year prediction is issued",false,not available at decision time,temporal leakage,rejected
manual_cloud_free_scene_choice,analyst notebook,identifier,scene,retrospective review,nuisance,"selects visually clean inputs","cannot be reproduced consistently in annual automated operation",false,manual retrospective choice,feature-computation skew,rejected
