requirement_id,stakeholder,required_operation,data_class,availability,scientific_evidence,governance_constraint,risk_if_unmet
REQ-01,remote-sensing analyst,inspect accepted raster grid,COG seasonal composite,business hours,"CRS grid transform nodata scaling checksum",read-only source,"wrong grid or scaled values enter analysis"
REQ-02,GIS editor,correct reviewed management-zone attributes,authoritative vector zones,business hours,"stable zone_id domain rule editor and timestamp",named editors only,"untraceable or conflicting edits"
REQ-03,Python pipeline,extract site summaries reproducibly,COG plus public site view,scheduled weekly,"environment lock query parameters stable IDs QA thresholds",service account with least privilege,"manual results cannot be reproduced"
REQ-04,programme manager,view evidence status and limitations,public generalized sites,99 percent monthly,"allow-listed fields update date legend table provenance",public read-only,"private fields leak or stale evidence appears current"
REQ-05,field partner,review a bounded package offline,GeoPackage plus PDF map,three-day missions,"package checksum CRS schema snapshot date",encrypted device and named recipient,"outdated copy is edited as authority"
REQ-06,data steward,restore authoritative edits,vector database and item metadata,declared recovery target,"backup log restore test owner lineage",restricted administrator role,"backup exists but cannot be restored"
REQ-07,external researcher,discover approved analytical assets,STAC metadata and COG assets,public catalogue hours,"stable item IDs asset roles licence processing lineage",data licence and access class,"temporary links or ambiguous assets break reuse"
REQ-08,security reviewer,prove public layer is non-editable and filtered,public feature view,before every release,"field allow-list geometry generalization anonymous negative test",no anonymous editing,"public users alter or retrieve restricted records"
REQ-09,platform owner,estimate operating dependency and exit effort,all deployed components,annual review,"versions licences extensions costs export formats owners migration test",procurement record,"workflow becomes unsupported or trapped"
REQ-10,scientific lead,approve equivalent results across ecosystems,derived site summary,before handover,"record counts stable IDs tolerances map-table reconciliation",independent review,"software changes alter the scientific conclusion"
