component_id,workflow_role,candidate_component,ecosystem,capability_claim,claim_status,version_or_service_level,licence_or_privilege,evidence_required,portability_boundary
CMP-01,desktop inspection,ArcGIS Pro,ArcGIS,"inspect geodatabases rasters services and metadata",partly evidenced,not recorded,not recorded,"current version supported formats licence and sample-open test","export reviewed interchange package"
CMP-02,desktop inspection,QGIS,open,"inspect GeoPackage COG PostGIS and OGC services",partly evidenced,3.44 LTR,open-source,"provider versions CRS and rendering comparison","project plus open data references"
CMP-03,visual automation,ModelBuilder,ArcGIS,"chain geoprocessing tools into a documented model",documented concept,not recorded,ArcGIS Pro access,"tool availability parameter exposure validation and exported model inventory","method specification independent of diagram"
CMP-04,Python automation,ArcPy,ArcGIS,"automate ArcGIS geoprocessing data management and map operations",documented concept,not recorded,ArcGIS Pro or authorised environment,"environment product modules extensions and fixture result","plain inputs outputs parameters and acceptance tests"
CMP-05,Python automation,GeoPandas Rasterio Python,open,"automate vector and raster processing",tested earlier,academy tested versions,open-source,"locked environment fixture tests and output reconciliation","standard Python package and open representations"
CMP-06,authoritative editing,enterprise geodatabase,ArcGIS,"multiuser governed editing and geodatabase behaviour",unverified,not recorded,server and database privileges,"DBMS geodatabase versioning model roles backup restore and load test","approved export view and stable IDs"
CMP-07,authoritative editing,PostGIS,open,"multiuser spatial storage constraints indexes and SQL access",tested earlier,organisation specific,open-source plus operations,"schema migrations roles backup restore and spatial query tests","SQL schema open exports and service contract"
CMP-08,cloud sharing,ArcGIS Online hosted feature layer view,ArcGIS,"publish filtered read-only web feature access",partly evidenced,current service,organisation user type and privileges,"source-view relationship field filters editing sharing export and anonymous tests","GeoJSON OGC or approved snapshot distribution"
CMP-09,self-managed sharing,ArcGIS Enterprise portal and federated services,ArcGIS,"manage organisational items identity services and hosted data",partly evidenced,not recorded,capacity user and server licensing,"deployment architecture federation identity roles monitoring backup and recovery","documented APIs OGC services exports and identifiers"
CMP-10,web delivery,MapLibre plus OGC services,open,"deliver a custom public map from governed services",tested earlier,client and service specific,open-source plus hosting,"browser accessibility payload conformance security and failure tests","OGC and GeoJSON contracts"
CMP-11,offline exchange,GeoPackage and PDF,open standard,"carry a bounded snapshot and accessible map without network",partly evidenced,GeoPackage version not recorded,recipient policy,"schema CRS checksum snapshot date encryption and round-trip test","single-file database plus human-readable evidence"
CMP-12,discovery,STAC catalogue,mixed,"describe approved Earth Observation assets with stable metadata",tested earlier,STAC conformance recorded elsewhere,service dependent,"Item Asset roles paging licence stable resolution and client test","STAC metadata and asset contracts"
