stage_id,scientific_role,arcgis_implementation,open_implementation,scientific_invariant,exchange_or_acceptance_evidence
STG-01,register accepted inputs,"ArcGIS Pro project plus geodatabase connection","QGIS project plus PostGIS and COG connections","source IDs checksums licence processing level access class","input inventory reconciles the same source objects"
STG-02,validate public vector schema,"geoprocessing checks plus hosted feature layer view review","GeoPandas schema tests plus restricted database view","stable IDs allowed fields geometry validity generalized location","field and feature counts plus anonymous negative test"
STG-03,validate raster measurement,"ArcGIS Pro raster properties and approved geoprocessing tools","Rasterio GDAL and Python assertions","CRS affine grid shape bands scaling nodata mask checksum","machine-readable grid contract and fixture results"
STG-04,derive site evidence,"ArcPy script tool or reviewed ModelBuilder model","versioned Python package or notebook","algorithm parameters eligibility rule spatial support missingness","same six site IDs values within declared tolerance and exclusions"
STG-05,store authoritative edits,"enterprise geodatabase with declared versioning and roles","PostGIS with roles constraints and migrations","one write authority editor identity timestamp domain integrity backup","edit audit and successful restore test"
STG-06,publish organisational view,"ArcGIS Online or Enterprise hosted/referenced feature service","OGC API Features or bounded GeoJSON service","read-only audience public allow-list CRS date provenance limitation","client and anonymous access matrix"
STG-07,publish map portrayal,"ArcGIS web map and app","MapLibre or Folium delivery","status semantics complete legend map-table reconciliation accessibility","visual and text comparison at agreed viewport and IDs"
STG-08,package offline handover,"export approved GeoPackage PDF and metadata","export approved GeoPackage PDF and metadata","snapshot date checksum CRS schema lineage no authority ambiguity","recipient round-trip and stale-copy warning"
STG-09,monitor and recover,"organisation portal server database monitoring","service database and application monitoring","owner availability target logs backup restore evidence incident path","failure drill and recovery record"
STG-10,migrate or exit,"export governed data methods and service contracts","import governed data methods and service contracts","identifiers types units CRS relationships provenance acceptance thresholds","round-trip result and documented acceptable loss"
